case,node,type,fingerprint,structure
eighth_share,144,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=142;delta=+2;within5=yes
eighth_share,153,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=151;delta=+2;within5=yes
eighth_share,163,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=151;delta=+12;within5=no
eighth_share,490,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=488;delta=+2;within5=yes
eighth_share,753,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=488;delta=+265;within5=no
eighth_share,754,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=488;delta=+266;within5=no
eighth_share,1001,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1069;delta=-68;within5=no
eighth_share,1071,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=1069;delta=+2;within5=yes
eighth_share,1210,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=1208;delta=+2;within5=yes
eighth_share,1245,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1208;delta=+37;within5=no
eighth_share,1246,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=1208;delta=+38;within5=no
test4,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=479;delta=-477;within5=no
test4,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=479;delta=-474;within5=no
test4,227,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=479;delta=-252;within5=no
test4,228,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=479;delta=-251;within5=no
test4,241,Redaction/trace failure,R3_CHECK_CLAIM_REDACTED_TOOL_W20,assistant asserts checked/looked/ran -> tool node within +/-20 -> result unreadable/redacted; audited_seam=479;delta=-238;within5=no
test4,246,Date/Status Fix,D2_CORE_HELD_DATE_STATUS_NARROWED,core event set retained -> date/timing status marked off or needing correction; audited_seam=479;delta=-233;within5=no
test4,280,Date/Status Fix,D1_STATUS_UPGRADE_AFTER_RECHECK,partial/not-clean status -> repeated checking -> assistant moves claim set to steel; audited_seam=479;delta=-199;within5=no
test4,280,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=479;delta=-199;within5=no
test4,481,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=479;delta=+2;within5=yes
office_metaphor,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=738;delta=-736;within5=no
office_metaphor,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=738;delta=-733;within5=no
office_metaphor,740,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=738;delta=+2;within5=yes
office_metaphor,783,Date/Status Fix,D2_CORE_HELD_DATE_STATUS_NARROWED,core event retained -> month/date corrected to June 27 2025; audited_seam=738;delta=+45;within5=no
office_metaphor,783,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=738;delta=+45;within5=no
office_metaphor,788,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=738;delta=+50;within5=no
office_metaphor,796,Date/Status Fix,D3_AGGREGATE_DATE_STATUS_FIX,whole-batch recap -> unspecified date/status fixes asserted; exact items not enumerated; audited_seam=738;delta=+58;within5=no
office_metaphor,796,Redaction/trace failure,R2_CHECK_CLAIM_NO_TOOL_W20,assistant asserts checked/looked/ran -> no visible tool node within +/-20 linear nodes; audited_seam=738;delta=+58;within5=no
seventeenth_share,2,Redaction/trace failure,R5_CUSTOM_INSTRUCTIONS_REDACTED_EXACT,user custom-instruction record -> is_redacted=true -> exact unavailable placeholder; audited_seam=100;delta=-98;within5=no
seventeenth_share,5,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=100;delta=-95;within5=no
seventeenth_share,102,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=100;delta=+2;within5=yes
seventeenth_share,174,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=172;delta=+2;within5=yes
seventeenth_share,195,Redaction/trace failure,R4_MODEL_EDITABLE_CONTEXT_REDACTED,assistant model-editable context record -> is_redacted=true -> payload unavailable/blank; audited_seam=193;delta=+2;within5=yes
seventeenth_share,444,Date/Status Fix,D2_CORE_HELD_DATE_STATUS_NARROWED,core factual anchor retained -> exact date and amount status narrowed pending stronger source; audited_seam=193;delta=+251;within5=no
seventeenth_share,449,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=193;delta=+256;within5=no
seventeenth_share,450,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=193;delta=+257;within5=no
seventeenth_share,537,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-280;within5=no
seventeenth_share,538,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-279;within5=no
seventeenth_share,654,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-163;within5=no
seventeenth_share,666,Redaction/trace failure,R1_TOOL_RESULT_REDACTED_EXACT,tool result node exists -> payload replaced by exact product redaction string; audited_seam=817;delta=-151;within5=no
